"#year","month","fleet","sex","partition","input_n","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-18.1","U-20.1","U-22.1","U-24.1","U-26.1","U-28.1","U-30.1","U-32.1","U-34.1","U-36.1","U-38.1","U-40.1","U-42.1","U-44.1","U-46.1","U-48.1","U-50.1","U-52.1","U-54.1","U-56.1","U-58.1","U-60.1","U-62.1","U-64.1","U-66.1","U-68.1","U-70.1","U-72.1","U-74.1","U-76.1","U-78.1","U-80.1","U-82.1","U-84.1","U-86.1","U-88.1","U-90.1"
2004,7,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.155520869049236,0,0,0.155520869049236,0.155520869049236,27.3716729526655,0,55.9875940590663,0,0,0,0,0,0,0,0,0,0,0,16.1741703811205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,1,0,1,4,0,0,0,0,0,0,0,6.44534079138791,0,0,0,22.6853479382474,15.1235652921649,8.07386356467859,7.56178264608247,11.2965339603725,12.4665034301136,4.39263986543502,0,4.39263986543502,0,0,0,7.56178264608247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,1,0,1,325,0.140822748009303,0.00677509113867805,0.0406505468320683,0.385909191259102,0.134146804545825,0.0605818871138536,0.180217424288836,0.588077910837255,1.06800286627469,2.7065072311119,5.11708025644223,6.68545651241513,10.0519220359711,10.0146755288802,15.6355643598307,9.22249559430949,10.2077937409791,6.63405073983208,4.56071113115941,6.89512044852269,2.65938783523291,1.29753222973809,1.93055839401378,1.59517673108046,0.653118785768564,0.493226634895762,0.972106501040893,0.0623308384758381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,1,0,1,301,0.0338227528999073,0,0,0.0229790763420476,0.0300495613703699,0.0159085913137252,0.173226883193897,0.383534154617257,0.996595955601636,3.96188790116261,3.68839690412076,3.66481221827177,2.39915747175804,2.40990741400913,8.83450605586681,12.0075008894815,13.0381899940516,12.7412416531617,11.0624412449141,8.04754585929162,7.91438883824888,3.81389272686899,2.54036439427949,0.818772196947428,0.523822208643199,0,0.562692326637778,0.314362726945866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,1,0,1,311,0,0,0.432252590360525,0.785360340232502,0.85916917111345,0.648880255571031,0.432252590360525,0.408322114960389,0.423120493381077,0.716362274165564,1.61638116536224,4.71627484452652,8.22139246705922,6.45724954686422,8.64882738632096,8.26112947194927,5.93621074946791,12.7590666682053,9.16348587541483,5.71143369496844,3.76699000402218,6.6573085931404,7.11695189419706,2.26476336368478,2.08516214364056,1.34241825597881,0.222214359833227,0,0,0.0669687111826165,0.216126295180262,0.0334843555913082,0,0.0304403232648257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,1,0,1,588,0,0.00184332017832664,0.0400614918756322,0.599079057956157,0.0759447913470574,1.25118800015148,9.82261056461713,15.3783022303601,21.2169170705455,11.2153220105451,14.7959134121907,12.7290011176741,5.89900760060597,1.34782110962479,0.95066165996899,0.81690289215807,0.984793870461597,1.21419631089547,0.54855706359501,0.456859659534261,0.292988931824113,0.0936403486091771,0.0379720792237127,0.00921660089163318,0.0582492677434177,0.056405947565091,0.0243315099040956,0.0803687597750413,0,0.00184332017832664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,1,0,1,436,0,0.00936974668893716,0.0374789867557487,0,0,0.0606277726931228,0.481715212125358,0.695515795663833,0.389139307020395,2.74454615080109,6.97508812056518,20.9766793078993,21.4124693539548,19.9196445759512,19.3328525660232,3.46893577827676,1.63407197282971,0.980618434106584,0.520896894445377,0.0522028744097928,0.179915176553181,0.124925003816827,0,0,0,0,0,0,0.00330696941962488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,1,0,1,215,0.60390892616391,0.911455138562197,3.17835031140339,5.18712365908708,5.20389890703608,3.23762285415652,5.59264399622311,5.5409187217399,7.24786611724836,18.3563998780982,18.270212949991,10.364666317744,7.32329761485567,3.20280514407662,1.36812178024757,2.88195550895944,0.0838762397449875,0.279587465816625,0.0838762397449875,0.055917493163325,0.969577242773726,0.0279587465816625,0.0279587465816625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,1,0,1,185,0,0,0.522518483388328,0.442131024405508,1.02494010203095,1.70823350338492,3.54568632131897,8.22031975409511,27.8176960936956,14.7880788170563,14.4230086619653,7.47836561443846,7.89739056101729,4.92690505186808,2.97098650490671,1.39673209982649,0.462227889151213,1.59100179236831,0.180871782711344,0.401937294914098,0.200968647457049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,1,0,1,245,0.42560427350494,1.46733095992812,4.26347073416246,9.41890363209023,9.85474649896722,11.8759652846501,4.48169330270014,4.26889116594767,6.33302450886995,8.06336723154599,8.56094204018524,8.87539802589596,8.38360116111618,3.74623945327935,4.42307233672681,4.96752459604068,0.445679946783475,0.0481816158684838,0.0481816158684838,0.0481816158684838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
